datetime,underlying_price,open,high,low,close,volume,option_symbol,expiry_date,bid,ask,T,sigma,bs_price,edge,available
2024-01-02 15:16:00,472.056,1.44,1.44,1.44,1.44,2.0,O:SPY240116C00480000,2024-01-16,1.435,1.445,0.036613394216133945,0.10361393692193209,1.0884231023000126,0.34657689769998745,4
2024-01-02 15:19:00,472.06,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.036607686453576864,0.09984804621586021,0.9927687039453019,0.45223129605469814,5
2024-01-02 15:20:00,472.15,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.03660578386605784,0.09775393800779139,0.9578810166114806,0.48711898338851944,3
2024-01-02 15:21:00,472.245,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.036603881278538815,0.09572788233520794,0.92582153168415,0.51917846831585,5
2024-01-02 15:25:00,472.08,1.42,1.42,1.42,1.42,5.0,O:SPY240116C00480000,2024-01-16,1.415,1.425,0.03659627092846271,0.09682768691038414,0.9208928831910157,0.49410711680898434,5
2024-01-02 15:26:00,471.74,1.42,1.42,1.42,1.42,5.0,O:SPY240116C00480000,2024-01-16,1.415,1.425,0.036594368340943685,0.10946166797083325,1.1734607996790771,0.2415392003209229,2
2024-01-02 15:27:00,471.84,1.42,1.42,1.42,1.42,5.0,O:SPY240116C00480000,2024-01-16,1.415,1.425,0.03659246575342466,0.10794227088701863,1.1548510420439442,0.26014895795605586,3
2024-01-02 15:40:00,471.66,1.34,1.34,1.34,1.34,2.0,O:SPY240116C00480000,2024-01-16,1.335,1.345,0.03656773211567732,0.10765455223680029,1.1089728093775193,0.22602719062248067,3
2024-01-02 15:41:00,471.56,1.34,1.34,1.34,1.34,2.0,O:SPY240116C00480000,2024-01-16,1.335,1.345,0.036565829528158296,0.10459209661017567,1.0115096606434122,0.3234903393565878,3
2024-01-02 15:42:00,471.61,1.34,1.34,1.34,1.34,2.0,O:SPY240116C00480000,2024-01-16,1.335,1.345,0.03656392694063927,0.10206793629896109,0.9587237167264817,0.37627628327351825,5
2024-01-02 15:58:00,471.595,1.29,1.29,1.29,1.29,3.0,O:SPY240116C00480000,2024-01-16,1.285,1.295,0.03653348554033486,0.09863564324033516,0.8719158336923272,0.41308416630767275,4
2024-01-02 15:59:00,471.68,1.29,1.29,1.29,1.29,3.0,O:SPY240116C00480000,2024-01-16,1.285,1.295,0.036531582952815826,0.09723325573571376,0.8539385137102613,0.4310614862897386,3
2024-01-02 16:00:00,471.84,1.32,1.32,1.32,1.32,1.0,O:SPY240116C00480000,2024-01-16,1.315,1.325,0.0365296803652968,0.09880267358833095,0.9213274475173137,0.3936725524826863,5
2024-01-02 16:01:00,471.79,1.32,1.32,1.32,1.32,1.0,O:SPY240116C00480000,2024-01-16,1.315,1.325,0.03652777777777778,0.09573411898581088,0.8381400258904392,0.4768599741095607,2
2024-01-02 16:02:00,471.89,1.34,1.34,1.34,1.34,1.0,O:SPY240116C00480000,2024-01-16,1.335,1.345,0.03652587519025875,0.09444180633247562,0.8254982942623315,0.5095017057376685,4
2024-01-02 16:03:00,471.86,1.34,1.34,1.33,1.33,2.0,O:SPY240116C00480000,2024-01-16,1.33,1.34,0.03652397260273973,0.09140653851042105,0.7494358081216035,0.5805641918783966,2
2024-01-02 16:04:00,472.105,1.34,1.34,1.33,1.33,2.0,O:SPY240116C00480000,2024-01-16,1.33,1.34,0.0365220700152207,0.09781360085728137,0.947672700426125,0.3823272995738751,4
2024-01-02 16:08:00,471.97,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.0365144596651446,0.0975859537755361,0.9157398326108819,0.46926016738911813,5
2024-01-02 16:09:00,472.1812,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.036512557077625574,0.10066334077358513,1.034559714702823,0.3504402852971771,1
2024-01-02 16:10:00,472.32,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03651065449010654,0.09955439992459625,1.0345398353731383,0.3504601646268617,4
2024-01-02 16:11:00,472.39,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.03650875190258752,0.09664694099264391,0.9744240370038852,0.4705759629961148,2
2024-01-02 16:12:00,472.19,1.44,1.44,1.44,1.44,1.0,O:SPY240116C00480000,2024-01-16,1.435,1.445,0.03650684931506849,0.10058385985526534,1.0341183704203303,0.4008816295796698,5
2024-01-02 16:13:00,472.04,1.36,1.36,1.36,1.36,1.0,O:SPY240116C00480000,2024-01-16,1.355,1.365,0.03650494672754947,0.10085378283961219,1.0105199264418587,0.34448007355814125,4
2024-01-02 16:14:00,472.16,1.36,1.36,1.36,1.36,1.0,O:SPY240116C00480000,2024-01-16,1.355,1.365,0.036503044140030444,0.09957004342632113,1.0020568575075544,0.3529431424924456,1
2024-01-02 16:17:00,472.2182,1.41,1.41,1.41,1.41,1.0,O:SPY240116C00480000,2024-01-16,1.405,1.415,0.03649733637747336,0.09672134608136813,0.941754937635352,0.463245062364648,1
2024-01-02 16:18:00,472.19,1.41,1.41,1.41,1.41,1.0,O:SPY240116C00480000,2024-01-16,1.405,1.415,0.03649543378995434,0.0938373042354562,0.865220796945195,0.539779203054805,3
2024-01-02 16:19:00,472.22,1.41,1.41,1.41,1.41,1.0,O:SPY240116C00480000,2024-01-16,1.405,1.415,0.036493531202435314,0.09089965172834645,0.8000844176802815,0.6049155823197185,3
2024-01-02 16:29:00,472.33,1.38,1.38,1.38,1.38,7.0,O:SPY240116C00480000,2024-01-16,1.375,1.385,0.036474505327245055,0.0895086370932845,0.7863793318406067,0.5886206681593933,2
2024-01-02 16:30:00,472.4,1.38,1.38,1.38,1.38,7.0,O:SPY240116C00480000,2024-01-16,1.375,1.385,0.03647260273972603,0.08709894947348186,0.7420648835853569,0.6329351164146431,4
2024-01-02 16:31:00,472.41,1.38,1.38,1.38,1.38,7.0,O:SPY240116C00480000,2024-01-16,1.375,1.385,0.036470700152207,0.08433905933246634,0.680113858651282,0.694886141348718,4
2024-01-02 16:45:00,472.86,1.47,1.52,1.47,1.52,5.0,O:SPY240116C00480000,2024-01-16,1.49,1.5,0.03644406392694064,0.10779770374759202,1.3756680518358735,0.1143319481641265,3
2024-01-02 16:46:00,473.06,1.47,1.52,1.47,1.52,5.0,O:SPY240116C00480000,2024-01-16,1.49,1.5,0.036442161339421617,0.10735510321425792,1.4119626256760398,0.07803737432396018,4
2024-01-02 16:47:00,473.055,1.47,1.52,1.47,1.52,5.0,O:SPY240116C00480000,2024-01-16,1.49,1.5,0.036440258751902585,0.10441833755648983,1.327427533513415,0.16257246648658508,4
2024-01-02 16:55:00,473.1,1.57,1.57,1.57,1.57,20.0,O:SPY240116C00480000,2024-01-16,1.565,1.575,0.03642503805175038,0.10111824623192385,1.2452802654038209,0.3197197345961791,1
2024-01-02 16:56:00,473.17,1.57,1.57,1.57,1.57,20.0,O:SPY240116C00480000,2024-01-16,1.565,1.575,0.03642313546423136,0.09796758459126484,1.1745293814890658,0.3904706185109341,3
2024-01-02 16:57:00,473.16,1.57,1.57,1.57,1.57,20.0,O:SPY240116C00480000,2024-01-16,1.565,1.575,0.036421232876712326,0.09541638622715463,1.102723258997898,0.46227674100210203,5
2024-01-02 17:27:00,473.07,1.56,1.56,1.56,1.56,2.0,O:SPY240116C00480000,2024-01-16,1.555,1.565,0.036364155251141554,0.0951129283094746,1.0725397297412087,0.48246027025879124,3
2024-01-02 17:28:00,473.095,1.56,1.56,1.56,1.56,2.0,O:SPY240116C00480000,2024-01-16,1.555,1.565,0.03636225266362253,0.09214774125576167,0.999395763314439,0.5556042366855609,5
2024-01-02 17:29:00,472.975,1.56,1.56,1.56,1.56,2.0,O:SPY240116C00480000,2024-01-16,1.555,1.565,0.0363603500761035,0.09291049096261296,0.9938198372258569,0.5611801627741431,1
2024-01-02 17:32:00,473.16,1.55,1.55,1.55,1.55,2.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.036354642313546424,0.09347079606957419,1.0481522512148729,0.49684774878512705,2
2024-01-02 17:33:00,473.14,1.55,1.55,1.55,1.55,2.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.0363527397260274,0.09103575343023343,0.9795192385455636,0.5654807614544364,4
2024-01-02 17:34:00,473.215,1.55,1.55,1.55,1.55,2.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.03635083713850837,0.0884121108870444,0.9270118719240088,0.6179881280759911,1
2024-01-02 17:47:00,473.1933,1.58,1.58,1.52,1.52,10.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.036326103500761035,0.08617744622949404,0.8646608965087097,0.6803391034912902,4
2024-01-02 17:48:00,472.995,1.58,1.58,1.52,1.52,10.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.03632420091324201,0.09157343547600254,0.9620783508593007,0.5829216491406992,2
2024-01-02 17:49:00,473.05,1.58,1.58,1.52,1.52,10.0,O:SPY240116C00480000,2024-01-16,1.545,1.555,0.036322298325722986,0.08888812085049258,0.9044239609355031,0.6405760390644968,2
2024-01-02 17:59:00,472.65,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03630327245053273,0.1099407719450047,1.3792259017877484,0.0057740982122516105,1
2024-01-02 18:00:00,472.57,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.036301369863013695,0.1072076309347174,1.2846919759183493,0.10030802408165074,2
2024-01-02 18:01:00,472.59,1.39,1.39,1.39,1.39,1.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03629946727549467,0.1039589427047224,1.2008465660814949,0.18415343391850514,5
2024-01-02 18:13:00,472.61,1.39,1.39,1.39,1.39,3.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03627663622526636,0.10080389918858791,1.1200321652755179,0.26496783472448215,2
2024-01-02 18:14:00,472.6105,1.39,1.39,1.39,1.39,3.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03627473363774734,0.09765854861929926,1.0375486320566694,0.34745136794333065,4
2024-01-02 18:15:00,472.62,1.39,1.39,1.39,1.39,3.0,O:SPY240116C00480000,2024-01-16,1.385,1.395,0.03627283105022831,0.09463739967865498,0.961792519539074,0.42320748046092604,4
2024-01-02 18:25:00,472.74,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.036253805175038054,0.09385793862944292,0.9657534384570567,0.4792465615429433,4
2024-01-02 18:26:00,472.91,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.03625190258751903,0.09483431971932793,1.0265244201124943,0.4184755798875057,4
2024-01-02 18:27:00,472.75,1.45,1.45,1.45,1.45,1.0,O:SPY240116C00480000,2024-01-16,1.445,1.455,0.03625,0.09607830537133231,1.0249833538750295,0.4200166461249706,5
2024-01-02 18:57:00,472.16,1.22,1.22,1.22,1.22,1.0,O:SPY240116C00480000,2024-01-16,1.215,1.225,0.036192922374429226,0.13371402880937394,1.934342324616793,0.7093423246167929,3
2024-01-02 18:58:00,472.05,1.22,1.22,1.22,1.22,1.0,O:SPY240116C00480000,2024-01-16,1.215,1.225,0.036191019786910195,0.1301396878903937,1.800540503251682,0.5755405032516818,1
2024-01-02 18:59:00,472.1499,1.25,1.25,1.25,1.25,15.0,O:SPY240116C00480000,2024-01-16,1.245,1.255,0.03618911719939117,0.12804638586853426,1.7654703590612257,0.5104703590612258,4
